 ,0,0,na,na,na
Kaplan University - Davenport Campus,25486,3127,Iowa,Midsize City,na
Kean University,11985,9516,New Jersey,Suburb,na
Keene State College,3778,3624,New Hampshire,Town,na
Kent State University at Kent,23179,19108,Ohio,Suburb,public
Kentucky Christian University,589,439,Kentucky,Town,na
Kentucky State University,1762,1122,Kentucky,Town,public
Kentucky Wesleyan College,716,673,Kentucky,Small City,private
Kenyon College,1678,1661,Ohio,Town,na
Kettering University,1891,1807,Michigan,Small City,na
Keuka College,1645,1312,New York,Town,private
Keystone College,1454,1065,Pennsylvania,Suburb,private
King University,1798,1608,Tennessee,Small City,na
